Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,ECE70,441.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,5 County Multicast Repeater System,,,,
2,AB6VU,440.550000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,LOMA PRIMARY REPEATER,,,,
3,AE6KE,146.835000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,LOMA SECONDARY REPEATER,,,,
4,W6JWS,146.745000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SLV PRIMARY REPEATER,,,,
5,AOK,146.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SLV SECONDARY REPEATER,,,,
6,K6BJ2,146.790000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL PRIMARY REPEATER - LINKED TO KJ6FFP/W,,,,
7,K6BJ7,440.925000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,COASTAL (NORTH) SECONDARY REPEATER,,,,
8,FFP,147.945000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL PRIMARY REPEATER - LINKED TO K6BJ,,,,
9,K6RMW,147.000000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL (SOUTH) SECONDARY REPEATER,,,,
10,LOMA1,146.505000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,LOMA SIMPLEX 1,,,,
11,LOMA2,446.875000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,LOMA SIMPLEX 2,,,,
12,LOMA3,147.540000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,LOMA SIMPLEX 3 + CERT,,,,
13,SLV1,147.555000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SLV SIMPLEX 1,,,,
14,SLV2,446.875000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SLV SIMPLEX 2,,,,
15,SLV3,147.450000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,SLV SIMPLEX 3 + CERT,,,,
16,CSTL1,146.535000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL SIMPLEX 1,,,,
17,CSTL2,441.000000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL SIMPLEX 2,,,,
18,CSTL3,147.570000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,COASTAL SIMPLEX 3 + CERT,,,,
19,EQNEV,146.565000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,EQUINE EVAC SIMPLEX,,,,
20,RDCRS,147.420000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,RED CROSS SIMPLEX,,,,
